credential_types,display_credential_types,display_levels,display_products,display_roles,display_subjects,exam_display_name,exams,hidden,icon_url,last_modified,levels,locale,products,roles,subjects,title,uid,url
applied skills,,Intermediate,Azure;Azure Computer Vision,Developer;AI Engineer;App Maker,Artificial intelligence,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-computer-vision,developer;ai-engineer;maker,artificial-intelligence,Microsoft Applied Skills: Build an Azure AI Vision solution,applied-skill.build-azure-ai-vision-solution,/credentials/applied-skills/build-azure-ai-vision-solution/
applied skills,,Intermediate,Microsoft Teams;Microsoft Graph;Microsoft Entra;Microsoft Entra ID;Microsoft Copilot,Developer,Application development;Backend development;Frontend development;Business applications;Custom app development,,,False,,2025-03-18T22:05:00Z,intermediate,en-us,office-teams;ms-graph;entra;entra-id;ms-copilot,developer,app-development;backend-development;frontend-development;business-applications;custom-app-development,Microsoft Applied Skills: Build collaborative apps for Microsoft Teams,applied-skill.build-collaborative-apps-microsoft-teams,/credentials/applied-skills/build-collaborative-apps-microsoft-teams/
applied skills,,Advanced,.NET;.NET Aspire,Developer,Business applications;Custom app development,,,False,,2025-05-02T19:21:00Z,advanced,en-us,dotnet;dotnet-aspire,developer,business-applications;custom-app-development,Microsoft Applied Skills: Build distributed apps with .NET Aspire,applied-skill.build-distributed-apps-with-dotnet-aspire,/credentials/applied-skills/build-distributed-apps-with-dotnet-aspire/
applied skills,,Intermediate,Microsoft Sentinel,Security Engineer;Security Operations Analyst,Security,,,False,,2025-05-02T19:21:00Z,intermediate,en-us,microsoft-sentinel,security-engineer;security-operations-analyst,security,Microsoft Applied Skills: Configure SIEM security operations using Microsoft Sentinel,applied-skill.configure-siem-security-operations-using-microsoft-sentinel,/credentials/applied-skills/configure-siem-security-operations-using-microsoft-sentinel/
applied skills,,Intermediate,Azure;Azure Database for PostgreSQL,Database Administrator,Data management;Databases,,,False,,2025-06-24T19:57:00Z,intermediate,en-us,azure;azure-database-postgresql,database-administrator,data-management;databases,Microsoft Applied Skills: Configure and migrate to Azure Database for PostgreSQL,applied-skill.configure-and-migrate-to-azure-database-for-postgresql,/credentials/applied-skills/configure-and-migrate-to-azure-database-for-postgresql/
applied skills,,Intermediate,Azure;Azure Virtual Network,Administrator,Technical infrastructure;Networking,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-virtual-network,administrator,infrastructure;networking,Microsoft Applied Skills: Configure secure access to your workloads using Azure networking,applied-skill.configure-secure-workloads-use-azure-virtual-networking,/credentials/applied-skills/configure-secure-workloads-use-azure-virtual-networking/
applied skills,,Intermediate,Microsoft Power Platform,App Maker,Artificial intelligence,,,False,,2025-05-15T19:01:00Z,intermediate,en-us,power-platform,maker,artificial-intelligence,Microsoft Applied Skills: Create agents in Microsoft Copilot Studio,applied-skill.create-agents-in-microsoft-copilot-studio,/credentials/applied-skills/create-agents-in-microsoft-copilot-studio/
applied skills,,Intermediate,Azure;Azure AI services;Azure AI Document Intelligence,Developer;AI Engineer;Data Engineer,Artificial intelligence,,,False,,2025-06-20T17:57:00Z,intermediate,en-us,azure;ai-services;document-intelligence,developer;ai-engineer;data-engineer,artificial-intelligence,Microsoft Applied Skills: Create an intelligent document processing solution with Azure AI Document Intelligence,applied-skill.create-intelligent-document-solution-azure-ai,/credentials/applied-skills/create-intelligent-document-solution-azure-ai/
applied skills,,Intermediate,Microsoft Power Platform;Power Automate,Administrator,Business applications;Automation,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,power-platform;power-automate,administrator,business-applications;automation,Microsoft Applied Skills: Create and manage automated processes by using Power Automate,applied-skill.create-and-manage-automated-processes-with-power-automate,/credentials/applied-skills/create-and-manage-automated-processes-with-power-automate/
applied skills,,Intermediate,Microsoft Power Platform;Power Apps,App Maker,Business applications;Custom app development,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,power-platform;power-apps,maker,business-applications;custom-app-development,Microsoft Applied Skills: Create and manage canvas apps with Power Apps,applied-skill.create-manage-canvas-apps-power-apps,/credentials/applied-skills/create-manage-canvas-apps-power-apps/
applied skills,,Intermediate,Microsoft Power Platform;Power Apps;Microsoft Dataverse,App Maker,Business applications,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,power-platform;power-apps;dataverse,maker,business-applications,Microsoft Applied Skills: Create and manage model-driven apps with Power Apps and Dataverse,applied-skill.create-and-manage-model-driven-apps-with-power-apps-and-dataverse,/credentials/applied-skills/create-and-manage-model-driven-apps-with-power-apps-and-dataverse/
applied skills,,Intermediate,Microsoft Defender;Microsoft Defender XDR,Security Operations Analyst,Security;Threat protection,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,microsoft-defender;defender-xdr,security-operations-analyst,security;threat-protection,Microsoft Applied Skills: Defend against cyberthreats with Microsoft Defender XDR,applied-skill.defend-against-cyberthreats-with-microsoft-defender-xdr,/credentials/applied-skills/defend-against-cyberthreats-with-microsoft-defender-xdr/
applied skills,,Intermediate,Azure;Azure Monitor;Azure Virtual Machines;Azure Virtual Network;Windows Server,Administrator,Technical infrastructure;IT management and monitoring,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-monitor;azure-virtual-machines;azure-virtual-network;windows-server,administrator,infrastructure;it-management-monitoring,Microsoft Applied Skills: Deploy and configure Azure Monitor,applied-skill.deploy-and-configure-azure-monitor,/credentials/applied-skills/deploy-and-configure-azure-monitor/
applied skills,,Intermediate,Azure;Azure Arc,Administrator,Technical infrastructure,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-arc,administrator,infrastructure,Microsoft Applied Skills: Deploy and manage Microsoft Azure Arc–enabled servers,applied-skill.deploy-and-manage-microsoft-azure-arc-enabled-servers,/credentials/applied-skills/deploy-and-manage-microsoft-azure-arc-enabled-servers/
applied skills,,Intermediate,Azure;Azure Container Apps;Azure Container Registry;Azure Pipelines,Developer;DevOps Engineer,Application development,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-container-apps;azure-container-registry;azure-pipelines,developer;devops-engineer,app-development,Microsoft Applied Skills: Deploy cloud-native apps using Azure Container Apps,applied-skill.deploy-cloud-native-apps-using-azure-container-apps,/credentials/applied-skills/deploy-cloud-native-apps-using-azure-container-apps/
applied skills,,Intermediate,Azure;Azure Kubernetes Service (AKS),Administrator,Technical infrastructure;Containers,,,False,,2024-11-11T19:16:00Z,intermediate,en-us,azure;azure-kubernetes-service,administrator,infrastructure;containers,Microsoft Applied Skills: Deploy containers by using Azure Kubernetes Service,applied-skill.deploy-containers-by-using-azure-kubernetes-service,/credentials/applied-skills/deploy-containers-by-using-azure-kubernetes-service/
applied skills,,Intermediate,ASP.NET;ASP.NET Core;.NET,Developer,Application development,,,False,,2025-03-24T16:01:00Z,intermediate,en-us,aspnet;aspnet-core;dotnet,developer,app-development,Microsoft Applied Skills: Develop an ASP.NET Core web app that consumes an API,applied-skill.develop-an-aspnet-core-web-app-that-consumes-an-api,/credentials/applied-skills/develop-an-aspnet-core-web-app-that-consumes-an-api/
applied skills,,Intermediate,Azure;Azure SQL Database,Developer,Application development;Backend development;Technical infrastructure;Cloud computing,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,azure;azure-sql-database,developer,app-development;backend-development;infrastructure;cloud-computing,Microsoft Applied Skills: Develop data-driven applications by using Microsoft Azure SQL Database,applied-skill.develop-data-driven-applications-by-using-microsoft-azure-sql-database,/credentials/applied-skills/develop-data-driven-applications-by-using-microsoft-azure-sql-database/
applied skills,,Intermediate,Azure;Azure OpenAI Service,AI Engineer;Developer,Artificial intelligence;Natural language processing,,,False,,2025-04-23T19:55:00Z,intermediate,en-us,azure;azure-openai,ai-engineer;developer,artificial-intelligence;natural-language-processing,Microsoft Applied Skills: Develop generative AI apps with Azure OpenAI and Semantic Kernel,applied-skill.develop-ai-agents-using-microsoft-azure-openai-and-semantic-kernel,/credentials/applied-skills/develop-ai-agents-using-microsoft-azure-openai-and-semantic-kernel/
applied skills,,Intermediate,Azure;Azure OpenAI Service,AI Engineer;App Maker;Developer,Artificial intelligence,,,False,,2024-11-11T19:16:00Z,intermediate,en-us,azure;azure-openai,ai-engineer;maker;developer,artificial-intelligence,Microsoft Applied Skills: Develop generative AI solutions with Azure OpenAI Service,applied-skill.develop-generative-ai-solutions-with-azure-openai-service,/credentials/applied-skills/develop-generative-ai-solutions-with-azure-openai-service/
applied skills,,Intermediate,Microsoft 365;Microsoft 365 Copilot,Developer,Artificial intelligence,,,False,,2025-06-24T19:57:00Z,intermediate,en-us,m365;microsoft-365-copilot,developer,artificial-intelligence,Microsoft Applied Skills: Extend Microsoft 365 Copilot with declarative agents by using Visual Studio Code,applied-skill.extend-microsoft-365-copilot-with-declarative-agents-by-using-visual-studio-code,/credentials/applied-skills/extend-microsoft-365-copilot-with-declarative-agents-by-using-visual-studio-code/
applied skills,,Beginner,Azure;Azure Resource Manager;Azure Managed Applications;Azure Storage Accounts;Azure Virtual Machines;Azure Virtual Network,Service Adoption Specialist;Support Engineer,Technical infrastructure;Networking;Virtual machine,,,False,,2025-07-16T06:32:00Z,beginner,en-us,azure;azure-resource-manager;azure-managed-applications;azure-storage-accounts;azure-virtual-machines;azure-virtual-network,service-adoption-specialist;support-engineer,infrastructure;networking;virtual-machine,Microsoft Applied Skills: Get started with Azure management tasks,applied-skill.get-started-with-azure-management-tasks,/credentials/applied-skills/get-started-with-azure-management-tasks/
applied skills,,Beginner,Visual Studio Code,Developer,Business applications;Custom app development,,,False,,2025-05-15T19:01:00Z,beginner,en-us,vs-code,developer,business-applications;custom-app-development,"Microsoft Applied Skills: Get started with classes, properties, and methods in C#",applied-skill.get-started-with-classes-properties-and-methods-in-c-sharp,/credentials/applied-skills/get-started-with-classes-properties-and-methods-in-c-sharp/
applied skills,,Beginner,Azure;Azure Firewall;Azure Key Vault;Azure Monitor,Security Engineer,Security;Cloud security,,,False,,2025-06-24T15:27:00Z,beginner,en-us,azure;azure-firewall;azure-key-vault;azure-monitor,security-engineer,security;cloud-security,Microsoft Applied Skills: Get started with cloud security and monitoring tasks,applied-skill.get-started-with-cloud-security-and-monitoring-tasks,/credentials/applied-skills/get-started-with-cloud-security-and-monitoring-tasks/
applied skills,,Beginner,Microsoft Entra;Microsoft Entra ID,Administrator;Identity and Access Administrator,Security;Identity and access,,,False,,2025-05-15T22:06:00Z,beginner,en-us,entra;entra-id,administrator;identity-access-admin,security;identity-access,Microsoft Applied Skills: Get started with identities and access using Microsoft Entra,applied-skill.get-started-with-identities-and-access-using-microsoft-entra,/credentials/applied-skills/get-started-with-identities-and-access-using-microsoft-entra/
applied skills,,Intermediate,Microsoft Power Platform;Power Automate;AI Builder,App Maker;Developer;Functional Consultant,Artificial intelligence;Business applications;Automation,,,False,,2025-06-30T22:44:00Z,intermediate,en-us,power-platform;power-automate;ai-builder,maker;developer;functional-consultant,artificial-intelligence;business-applications;automation,Microsoft Applied Skills: Implement AI models with Microsoft Power Platform AI Builder,applied-skill.implement-ai-models-with-microsoft-power-platform-ai-builder,/credentials/applied-skills/implement-ai-models-with-microsoft-power-platform-ai-builder/
applied skills,,Intermediate,Microsoft Fabric,Data Engineer;Data Analyst,Data management,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,fabric,data-engineer;data-analyst,data-management,Microsoft Applied Skills: Implement a Real-Time Intelligence solution with Microsoft Fabric,applied-skill.implement-a-real-time-intelligence-solution-with-microsoft-fabric,/credentials/applied-skills/implement-a-real-time-intelligence-solution-with-microsoft-fabric/
applied skills,,Intermediate,Microsoft Fabric,Data Engineer;Data Analyst;Data Scientist,Artificial intelligence;Machine learning;Data management;Data engineering,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,fabric,data-engineer;data-analyst;data-scientist,artificial-intelligence;machine-learning;data-management;data-engineering,Microsoft Applied Skills: Implement a data science and machine learning solution with Microsoft Fabric,applied-skill.implement-a-data-science-and-machine-learning-solution-with-microsoft-fabric,/credentials/applied-skills/implement-a-data-science-and-machine-learning-solution-with-microsoft-fabric/
applied skills,,Intermediate,Microsoft Fabric,Data Engineer,Data management;Data engineering;Data analytics,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,fabric,data-engineer,data-management;data-engineering;data-analytics,Microsoft Applied Skills: Implement a data warehouse in Microsoft Fabric,applied-skill.work-with-data-warehouses-using-microsoft-fabric,/credentials/applied-skills/work-with-data-warehouses-using-microsoft-fabric/
applied skills,,Intermediate,Microsoft Fabric,Data Engineer;Data Analyst,Data management;Data analytics;Data engineering,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,fabric,data-engineer;data-analyst,data-management;data-analytics;data-engineering,Microsoft Applied Skills: Implement a lakehouse in Microsoft Fabric,applied-skill.implement-lakehouse-microsoft-fabric,/credentials/applied-skills/implement-lakehouse-microsoft-fabric/
applied skills,,Intermediate,Microsoft Purview;Microsoft Purview Compliance Manager,Information Protection and Compliance Administrator;Security Operations Analyst,Security;Compliance,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,microsoft-purview;compliance-manager,ip-admin;security-operations-analyst,security;compliance,Microsoft Applied Skills: Implement information protection and data loss prevention by using Microsoft Purview,applied-skill.implement-information-protection-and-data-loss-prevention-by-using-microsoft-purview,/credentials/applied-skills/implement-information-protection-and-data-loss-prevention-by-using-microsoft-purview/
applied skills,,Intermediate,Azure;Azure AI Search;Azure AI services,AI Engineer,Artificial intelligence,,,False,,2025-06-24T19:57:00Z,intermediate,en-us,azure;azure-cognitive-search;ai-services,ai-engineer,artificial-intelligence,Microsoft Applied Skills: Implement knowledge mining with Azure AI Search,applied-skill.implement-knowledge-mining-with-azure-ai-search,/credentials/applied-skills/implement-knowledge-mining-with-azure-ai-search/
applied skills,,Intermediate,Microsoft Purview;Microsoft Purview Compliance Manager,Administrator;Information Protection and Compliance Administrator,Security;Compliance,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,microsoft-purview;compliance-manager,administrator;ip-admin,security;compliance,"Microsoft Applied Skills: Implement retention, eDiscovery, and Communication Compliance in Microsoft Purview",applied-skill.implement-retention-ediscovery-and-communication-compliance-in-microsoft-purview,/credentials/applied-skills/implement-retention-ediscovery-and-communication-compliance-in-microsoft-purview/
applied skills,,Intermediate,Azure;Azure DevOps,Administrator,Application development;DevOps,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-devops,administrator,app-development;devops,Microsoft Applied Skills: Implement security through a pipeline using Azure DevOps,applied-skill.implement-security-through-pipeline-using-devops,/credentials/applied-skills/implement-security-through-pipeline-using-devops/
applied skills,,Intermediate,SQL Server;Azure;Azure SQL Database,Database Administrator;Data Engineer;Administrator,Data management;Databases,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,sql-server;azure;azure-sql-database,database-administrator;data-engineer;administrator,data-management;databases,Microsoft Applied Skills: Migrate SQL Server workloads to Azure SQL Database,applied-skill.migrate-sql-workloads-azure-sql-database,/credentials/applied-skills/migrate-sql-workloads-azure-sql-database/
applied skills,,Intermediate,Microsoft 365;Microsoft 365 Apps,Administrator;Identity and Access Administrator;Information Protection and Compliance Administrator,Security;Information protection and governance,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,m365;m365-apps,administrator;identity-access-admin;ip-admin,security;information-protection-governance,Microsoft Applied Skills: Prepare security and compliance to support Microsoft 365 Copilot,applied-skill.prepare-security-and-compliance-to-support-microsoft-365-copilot,/credentials/applied-skills/prepare-security-and-compliance-to-support-microsoft-365-copilot/
applied skills,,Intermediate,Microsoft Defender;Microsoft Defender for Cloud;Azure,Administrator,Security,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,microsoft-defender;defender-for-cloud;azure,administrator,security,Microsoft Applied Skills: Secure Azure services and workloads with Microsoft Defender for Cloud regulatory compliance controls,applied-skill.secure-azure-services-and-workloads-with-microsoft-defender-for-cloud-regulatory-compliance-controls,/credentials/applied-skills/secure-azure-services-and-workloads-with-microsoft-defender-for-cloud-regulatory-compliance-controls/
applied skills,,Intermediate,Azure;Azure Blob Storage,Administrator,Technical infrastructure;Storage,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;azure-blob-storage,administrator,infrastructure;storage,Microsoft Applied Skills: Secure storage for Azure Files and Azure Blob Storage,applied-skill.secure-storage-azure-files-azure-blob-storage,/credentials/applied-skills/secure-storage-azure-files-azure-blob-storage/
applied skills,,Intermediate,Azure;Azure Machine Learning,AI Engineer;Data Engineer;Developer;Data Scientist,Artificial intelligence;Machine learning,,,False,,2025-05-02T19:21:00Z,intermediate,en-us,azure;azure-machine-learning,ai-engineer;data-engineer;developer;data-scientist,artificial-intelligence;machine-learning,Microsoft Applied Skills: Train and manage a machine learning model with Azure Machine Learning,applied-skill.train-and-deploy-a-machine-learning-model-with-azure-machine-learning,/credentials/applied-skills/train-and-deploy-a-machine-learning-model-with-azure-machine-learning/
certification;role-based,;Role-based,Intermediate,Windows,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,windows,business-user,,Microsoft Certified Educator,certification.microsoft-certified-educator,/credentials/certifications/microsoft-certified-educator/
certification;role-based,;Role-based,Intermediate,Azure,AI Engineer,Artificial intelligence,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-05-02T19:21:00Z,intermediate,en-us,azure,ai-engineer,artificial-intelligence,Microsoft Certified: Azure AI Engineer Associate,certification.azure-ai-engineer,/credentials/certifications/azure-ai-engineer/
certification;fundamentals,;Fundamentals,Beginner,Azure,AI Engineer,Artificial intelligence,,,False,/media/learn/certification/badges/microsoft-certified-fundamentals-badge.svg,2025-05-05T22:07:00Z,beginner,en-us,azure,ai-engineer,artificial-intelligence,Microsoft Certified: Azure AI Fundamentals,certification.azure-ai-fundamentals,/credentials/certifications/azure-ai-fundamentals/
certification;role-based,;Role-based,Intermediate,Azure,Administrator,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-29T21:54:00Z,intermediate,en-us,azure,administrator,,Microsoft Certified: Azure Administrator Associate,certification.azure-administrator,/credentials/certifications/azure-administrator/
certification;specialty,;Specialty,Intermediate,Azure,Developer,Data management,,,False,/media/learn/certification/badges/microsoft-certified-specialty-badge.svg,2025-03-07T18:18:00Z,intermediate,en-us,azure,developer,data-management,Microsoft Certified: Azure Cosmos DB Developer Specialty,certification.azure-cosmos-db-developer-specialty,/credentials/certifications/azure-cosmos-db-developer-specialty/
certification;fundamentals,;Fundamentals,Beginner,Azure,Data Engineer,Data management;Databases,,,False,/media/learn/certification/badges/microsoft-certified-fundamentals-badge.svg,2025-03-07T18:18:00Z,beginner,en-us,azure,data-engineer,data-management;databases,Microsoft Certified: Azure Data Fundamentals,certification.azure-data-fundamentals,/credentials/certifications/azure-data-fundamentals/
certification;role-based,;Role-based,Intermediate,Azure,Data Scientist,Artificial intelligence;Machine learning,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-17T23:19:00Z,intermediate,en-us,azure,data-scientist,artificial-intelligence;machine-learning,Microsoft Certified: Azure Data Scientist Associate,certification.azure-data-scientist,/credentials/certifications/azure-data-scientist/
certification;role-based,;Role-based,Intermediate,Azure,Database Administrator,Data management;Databases,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-05-20T23:43:00Z,intermediate,en-us,azure,database-administrator,data-management;databases,Microsoft Certified: Azure Database Administrator Associate,certification.azure-database-administrator-associate,/credentials/certifications/azure-database-administrator-associate/
